NETWORK;ISO_COUNTRY_CODE ;ISO_REGION_CODE;CITY_NAME;POSTAL_CODE
204.157.146.0/24;CO;PUT;MOCOA;860001
204.157.147.0/24;CO;PUT;MOCOA;860001
